"Year","Month","Date","MEI","Phase"
1981,"MA",1981-04-01,0.15,"Neutral Phase"
1982,"MA",1982-04-01,0.13,"Neutral Phase"
1983,"MA",1983-04-01,2.74,"Warm Phase/El Nino"
1984,"MA",1984-04-01,-0.06,"Neutral Phase"
1985,"MA",1985-04-01,-0.68,"Cool Phase/La Nina"
1986,"MA",1986-04-01,-0.3,"Neutral Phase"
1987,"MA",1987-04-01,1.62,"Warm Phase/El Nino"
1988,"MA",1988-04-01,-0.13,"Neutral Phase"
1989,"MA",1989-04-01,-1.09,"Cool Phase/La Nina"
1990,"MA",1990-04-01,0.12,"Neutral Phase"
1991,"MA",1991-04-01,0.49,"Neutral Phase"
1992,"MA",1992-04-01,2,"Warm Phase/El Nino"
1993,"MA",1993-04-01,1.05,"Warm Phase/El Nino"
1994,"MA",1994-04-01,0.19,"Neutral Phase"
1995,"MA",1995-04-01,0.34,"Neutral Phase"
1996,"MA",1996-04-01,-0.78,"Cool Phase/La Nina"
1997,"MA",1997-04-01,0.39,"Neutral Phase"
1998,"MA",1998-04-01,2.25,"Warm Phase/El Nino"
1999,"MA",1999-04-01,-1.2,"Cool Phase/La Nina"
2000,"MA",2000-04-01,-1.03,"Cool Phase/La Nina"
2001,"MA",2001-04-01,-0.74,"Cool Phase/La Nina"
2002,"MA",2002-04-01,-0.36,"Neutral Phase"
2003,"MA",2003-04-01,-0.04,"Neutral Phase"
2004,"MA",2004-04-01,-0.29,"Neutral Phase"
2005,"MA",2005-04-01,0.13,"Neutral Phase"
2006,"MA",2006-04-01,-0.77,"Cool Phase/La Nina"
2007,"MA",2007-04-01,-0.47,"Neutral Phase"
2008,"MA",2008-04-01,-1.27,"Cool Phase/La Nina"
2009,"MA",2009-04-01,-0.68,"Cool Phase/La Nina"
2010,"MA",2010-04-01,0.42,"Neutral Phase"
2011,"MA",2011-04-01,-1.86,"Cool Phase/La Nina"
2012,"MA",2012-04-01,-0.48,"Neutral Phase"
2013,"MA",2013-04-01,-0.44,"Neutral Phase"
2014,"MA",2014-04-01,-0.24,"Neutral Phase"
2015,"MA",2015-04-01,0.52,"Warm Phase/El Nino"
2016,"MA",2016-04-01,1.23,"Warm Phase/El Nino"
2017,"MA",2017-04-01,-0.36,"Neutral Phase"
2018,"MA",2018-04-01,-1.35,"Cool Phase/La Nina"
2019,"MA",2019-04-01,0.29,"Neutral Phase"
2020,"MA",2020-04-01,-0.14,"Neutral Phase"
2021,"MA",2021-04-01,-1.04,"Cool Phase/La Nina"
2022,"MA",2022-04-01,-1.76,"Cool Phase/La Nina"
2023,"MA",2023-04-01,NA,NA
1979,"AM",1979-05-01,0.35,"Neutral Phase"
1980,"AM",1980-05-01,0.71,"Warm Phase/El Nino"
1981,"AM",1981-05-01,-0.38,"Neutral Phase"
1982,"AM",1982-05-01,0.66,"Warm Phase/El Nino"
1983,"AM",1983-05-01,2.6,"Warm Phase/El Nino"
1984,"AM",1984-05-01,-0.78,"Cool Phase/La Nina"
1985,"AM",1985-05-01,-1.04,"Cool Phase/La Nina"
1986,"AM",1986-05-01,0.24,"Neutral Phase"
1987,"AM",1987-05-01,1.85,"Warm Phase/El Nino"
1988,"AM",1988-05-01,-0.59,"Cool Phase/La Nina"
1989,"AM",1989-05-01,-0.98,"Cool Phase/La Nina"
1990,"AM",1990-05-01,0.07,"Neutral Phase"
1991,"AM",1991-05-01,0.74,"Warm Phase/El Nino"
1992,"AM",1992-05-01,1.71,"Warm Phase/El Nino"
